                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1385,                 4.7318,                 1.3507,                 2.2617,                 8.0997,                 1.2327,                      0,                      0,                      0,                      0,                 2.1566,                 5.1065,                  1.562,                 2.1206,                 7.1872,                 1.4619,               5.88e-06,               5.88e-06,               5.88e-06
                      2,                 2.1561,                 4.5789,                 1.3833,                 2.2305,                 7.6067,                 1.2265,                      0,                      0,                      0,                      0,                 2.1514,                 5.1041,                 1.5625,                  2.152,                 7.2326,                 1.4634,             1.7371e-05,             1.7371e-05,             1.7371e-05
                      3,                 2.1508,                 4.6243,                 1.4101,                 2.2133,                  7.849,                 1.2566,                      0,                      0,                      0,                      0,                  2.145,                 5.0991,                 1.5571,                 2.1555,                 7.2763,                 1.4653,             2.8504e-05,             2.8504e-05,             2.8504e-05
                      4,                  2.148,                 4.5888,                 1.4822,                 2.1691,                 7.7701,                 1.2901,                      0,                      0,                      0,                      0,                 2.1517,                 5.0997,                 1.5561,                 2.1439,                 7.3057,                 1.4644,             3.9279e-05,             3.9279e-05,             3.9279e-05
                      5,                 2.0839,                 4.3135,                 1.3327,                 2.1854,                 7.3528,                 1.2082,                0.55408,                 0.0372,                0.06169,                0.04067,                 1.8871,                  3.947,                 1.3563,                 2.0239,                 6.4749,                 1.3364,             4.9696e-05,             4.9696e-05,             4.9696e-05
                      6,                 1.7971,                 3.0699,                 1.2227,                   1.98,                 6.0187,                 1.1216,                0.43635,                0.06101,                0.08944,                0.05301,                  1.966,                 2.8713,                 1.3526,                 2.0537,                 5.8181,                 1.3315,             5.9754e-05,             5.9754e-05,             5.9754e-05
                      7,                 1.6717,                 2.4026,                 1.1202,                 1.8878,                 4.9588,                 1.0575,                0.73051,                0.10268,                0.08845,                0.04803,                  1.948,                 3.7246,                 1.3413,                 2.0591,                 6.7032,                 1.3532,             6.9455e-05,             6.9455e-05,             6.9455e-05
                      8,                 1.6026,                 2.3201,                 1.1481,                 1.8706,                 5.0942,                 1.0746,                0.93146,                0.07361,                0.07829,                0.04081,                 1.8943,                 3.4632,                 1.3375,                 1.9633,                 8.0078,                 1.3226,             7.8797e-05,             7.8797e-05,             7.8797e-05
                      9,                 1.6195,                 2.0127,                 1.0991,                  1.853,                 4.5651,                 1.0399,                0.81266,                0.07738,                0.08844,                0.04777,                 1.8683,                 3.0846,                 1.3398,                 2.0213,                 8.2049,                 1.3212,              8.778e-05,              8.778e-05,              8.778e-05
                     10,                 1.5783,                 1.7193,                 1.0585,                 1.8306,                 4.0926,                 1.0236,                0.84966,                0.11458,                0.09947,                0.05462,                 1.8719,                 2.5721,                  1.342,                 2.0264,                 7.3967,                 1.3372,             9.6406e-05,             9.6406e-05,             9.6406e-05
                     11,                 1.4934,                 1.7342,                 1.0707,                 1.6949,                 4.1147,                 1.0399,                0.80358,                0.11458,                0.12599,                0.06672,                 1.9155,                 2.2558,                 1.3626,                 2.0175,                 6.3474,                  1.288,             0.00010467,             0.00010467,             0.00010467
                     12,                 1.4968,                  1.581,                 1.0517,                   1.78,                 3.7599,                 1.0237,                0.74383,                0.11458,                0.12426,                0.06692,                 1.8962,                 2.1278,                 1.3454,                 2.0382,                 5.6181,                 1.2932,             0.00011258,             0.00011258,             0.00011258
                     13,                 1.5022,                 1.4914,                 1.0384,                 1.7498,                 3.5551,                 1.0077,                0.76515,                0.09077,                0.11915,                0.05848,                 1.8875,                 2.0346,                 1.3513,                 1.9435,                 5.2203,                 1.2797,             0.00012013,             0.00012013,             0.00012013
                     14,                 1.3899,                  1.399,                 1.0472,                 1.5942,                 3.3922,                 1.0248,                0.53277,                0.20448,                0.13013,                0.05917,                 1.8922,                 2.0077,                 1.3461,                 1.9627,                 4.8225,                 1.2898,             0.00012733,             0.00012733,             0.00012733
                     15,                 1.4817,                 1.3318,                 1.0705,                 1.6586,                 3.3743,                 1.0388,                0.55922,                0.20952,                0.13929,                 0.0629,                 1.9053,                 2.2073,                 1.3658,                 1.9377,                 4.6556,                  1.301,             0.00013416,             0.00013416,             0.00013416
                     16,                  1.429,                 1.2861,                 1.0483,                  1.705,                 3.0593,                 1.0207,                0.56532,                0.22304,                0.16334,                0.06612,                 1.8684,                 2.2636,                 1.3514,                 1.9477,                 4.5469,                 1.3017,             0.00014064,             0.00014064,             0.00014064
                     17,                 1.4114,                 1.2142,                 1.0119,                 1.6738,                 2.6685,                0.99595,                0.55955,                0.25357,                0.18284,                0.06583,                 1.8763,                 2.1982,                 1.3459,                 2.0335,                  4.449,                 1.3152,             0.00014675,             0.00014675,             0.00014675
                     18,                 1.4294,                 1.3394,                 1.0586,                 1.6249,                 3.0866,                  1.015,                 0.7417,                0.20357,                0.22218,                0.07566,                 1.8737,                 2.0943,                  1.342,                 2.0777,                 4.4004,                 1.3342,             0.00015251,             0.00015251,             0.00015251
                     19,                 1.3213,                 1.1014,                 1.0518,                 1.5069,                 2.7152,                 1.0242,                 0.5754,                0.24077,                0.27602,                0.09007,                 1.8329,                 2.0934,                 1.3045,                 2.0014,                 4.4108,                 1.3007,             0.00015792,             0.00015792,             0.00015792
                     20,                 1.3181,                 1.1243,                0.99961,                  1.576,                 2.5457,                0.97311,                0.78404,                0.21683,                0.34359,                0.11048,                  1.798,                 2.0742,                 1.2723,                 1.9802,                 4.3264,                 1.3089,             0.00016296,             0.00016296,             0.00016296
                     21,                 1.3576,                 1.0794,                0.99156,                 1.6093,                 2.4524,                0.97493,                0.78721,                0.23512,                0.34606,                0.12381,                 1.8351,                 1.9999,                  1.294,                 2.0046,                 4.2594,                  1.308,             0.00016764,             0.00016764,             0.00016764
                     22,                 1.2864,                 1.0858,                 1.0153,                   1.49,                 2.4759,                 0.9909,                0.61223,                0.36744,                0.40694,                0.15993,                 1.8239,                 2.0478,                 1.2959,                 1.9782,                 4.0728,                 1.2965,             0.00017197,             0.00017197,             0.00017197
                     23,                 1.2512,                 1.1099,                0.98451,                 1.5234,                 2.3654,                0.96198,                0.67264,                 0.3526,                0.39623,                0.16357,                 1.8883,                 2.0551,                 1.3342,                 1.9498,                 3.8543,                 1.3153,             0.00017594,             0.00017594,             0.00017594
                     24,                 1.3451,                 1.1325,                0.97756,                 1.6014,                 2.3413,                0.96206,                0.80061,                 0.3338,                 0.3953,                0.15099,                  1.924,                 2.0075,                 1.3616,                 2.0115,                 3.7086,                 1.3701,             0.00017955,             0.00017955,             0.00017955
                     25,                 1.2497,                 1.0475,                 0.9849,                 1.4121,                 2.1265,                0.94775,                0.67479,                0.33707,                 0.3917,                0.13682,                 1.9406,                 1.9042,                 1.4082,                 2.0489,                 3.6138,                  1.404,              0.0001828,              0.0001828,              0.0001828
                     26,                  1.289,                 1.0437,                 1.0007,                  1.489,                 2.0907,                0.97243,                0.67711,                0.34077,                0.49706,                0.19715,                 1.8968,                 1.8792,                 1.3728,                 1.9709,                 3.5763,                 1.3415,             0.00018569,             0.00018569,             0.00018569
                     27,                 1.2826,                 1.0151,                0.98234,                  1.524,                 2.0781,                0.95548,                0.63332,                0.34673,                 0.4585,                0.21582,                 1.8441,                 1.8994,                 1.3382,                 1.9453,                 3.5049,                 1.3186,             0.00018823,             0.00018823,             0.00018823
                     28,                 1.1969,                0.93556,                0.97934,                 1.3981,                 1.8591,                0.95835,                0.63332,                0.34673,                 0.4585,                0.21582,                 1.8441,                 1.8994,                 1.3382,                 1.9453,                 3.5049,                 1.3186,             0.00019041,             0.00019041,             0.00019041
                     29,                 1.2226,                0.98219,                0.98092,                 1.4481,                 1.9482,                0.96729,                0.54183,                0.40795,                0.39437,                0.17704,                 1.8498,                 1.9522,                 1.3734,                 1.9332,                  3.561,                 1.2943,             0.00019223,             0.00019223,             0.00019223
                     30,                  1.258,                0.95713,                0.97523,                 1.4396,                 1.8561,                0.94581,                0.45329,                0.41461,                0.36348,                0.15497,                 1.8546,                 1.9975,                 1.3818,                 1.9227,                 3.5865,                 1.3022,             0.00019369,             0.00019369,             0.00019369
                     31,                 1.1717,                0.88955,                0.94785,                 1.3946,                  1.801,                  0.926,                0.45329,                0.41461,                0.36348,                0.15497,                 1.8546,                 1.9975,                 1.3818,                 1.9227,                 3.5865,                 1.3022,             0.00019479,             0.00019479,             0.00019479
                     32,                 1.2071,                0.88017,                0.95323,                 1.4019,                 1.7556,                0.93393,                0.48811,                0.40397,                0.33266,                0.12228,                 1.8568,                 1.9785,                 1.3574,                 1.9293,                 3.5595,                 1.3134,             0.00019554,             0.00019554,             0.00019554
                     33,                 1.1239,                0.90938,                0.97492,                 1.2951,                 2.0005,                0.96416,                 0.4188,                0.29228,                0.25227,                0.11707,                 1.8423,                 2.0852,                 1.3879,                 1.8837,                 3.4674,                 1.3135,             0.00019592,             0.00019592,             0.00019592
                     34,                 1.1554,                0.89238,                0.94106,                 1.3975,                 1.6913,                0.93059,                 0.4188,                0.29228,                0.25227,                0.11707,                 1.8423,                 2.0852,                 1.3879,                 1.8837,                 3.4674,                 1.3135,             0.00019595,             0.00019595,             0.00019595
                     35,                 1.3095,                 0.9381,                0.93767,                 1.6108,                 1.6292,                0.92466,                0.46377,                0.42542,                0.34173,                0.12838,                 1.8664,                 2.0697,                 1.4066,                  1.874,                 3.3947,                 1.3068,             0.00019562,             0.00019562,             0.00019562
                     36,                 1.1804,                0.86907,                0.94103,                 1.4377,                 1.5761,                0.92037,                0.52804,                0.40863,                0.42985,                0.18772,                 1.8785,                 2.0408,                 1.4249,                 1.9058,                  3.276,                  1.319,             0.00019493,             0.00019493,             0.00019493
                     37,                  1.217,                0.91793,                0.94788,                 1.4339,                 1.6768,                0.92521,                0.52804,                0.40863,                0.42985,                0.18772,                 1.8785,                 2.0408,                 1.4249,                 1.9058,                  3.276,                  1.319,             0.00019388,             0.00019388,             0.00019388
                     38,                 1.2304,                 0.9129,                0.99086,                 1.3857,                 1.7948,                0.96039,                0.53783,                0.33225,                0.43939,                0.20076,                 1.8273,                  2.011,                 1.3858,                 1.8675,                 3.1146,                 1.3086,             0.00019248,             0.00019248,             0.00019248
                     39,                 1.1637,                0.88309,                0.96636,                 1.3251,                 1.6233,                0.93564,                0.54093,                 0.3669,                0.48482,                 0.2243,                 1.7368,                 1.9627,                 1.3478,                 1.7281,                 3.0506,                 1.2409,             0.00019072,             0.00019072,             0.00019072
                     40,                 1.2152,                 0.8383,                0.96244,                 1.4326,                 1.6092,                0.93529,                0.54093,                 0.3669,                0.48482,                 0.2243,                 1.7368,                 1.9627,                 1.3478,                 1.7281,                 3.0506,                 1.2409,              0.0001886,              0.0001886,              0.0001886
                     41,                 1.2079,                0.81883,                0.93641,                 1.4784,                 1.4955,                0.91877,                0.57971,                0.40238,                0.44907,                0.21053,                 1.7471,                 1.9438,                 1.3478,                 1.7615,                 2.8783,                  1.251,             0.00018612,             0.00018612,             0.00018612
                     42,                 1.1732,                0.85042,                0.98601,                   1.38,                 1.5774,                0.98321,                0.60347,                0.28734,                 0.5263,                 0.2404,                 1.8168,                 1.8589,                 1.3644,                 1.8266,                 2.7225,                 1.2659,             0.00018328,             0.00018328,             0.00018328
                     43,                 1.0693,                0.77526,                 0.9282,                 1.2491,                 1.4495,                0.91973,                0.60347,                0.28734,                 0.5263,                 0.2404,                 1.8168,                 1.8589,                 1.3644,                 1.8266,                 2.7225,                 1.2659,             0.00018008,             0.00018008,             0.00018008
                     44,                 1.0615,                0.78324,                0.92991,                 1.3143,                  1.452,                0.92019,                 0.6777,                0.27694,                0.42984,                0.21249,                 1.8875,                 1.7392,                 1.3723,                 1.8615,                 2.7044,                 1.2777,             0.00017653,             0.00017653,             0.00017653
                     45,                 1.0789,                0.77189,                 0.9346,                 1.2794,                   1.44,                0.92755,                 0.6777,                0.27694,                0.42984,                0.21249,                 1.8875,                 1.7392,                 1.3723,                 1.8615,                 2.7044,                 1.2777,             0.00017262,             0.00017262,             0.00017262
                     46,                 1.0552,                0.76386,                0.91673,                 1.3505,                 1.3981,                0.90287,                0.82209,                0.26985,                0.41982,                0.20329,                 1.9231,                 1.7065,                 1.3874,                 1.8599,                 2.8156,                 1.2837,             0.00016834,             0.00016834,             0.00016834
                     47,                 1.0066,                0.75731,                0.91222,                 1.2785,                 1.3584,                0.89873,                0.82209,                0.26985,                0.41982,                0.20329,                 1.9231,                 1.7065,                 1.3874,                 1.8599,                 2.8156,                 1.2837,             0.00016372,             0.00016372,             0.00016372
                     48,                 1.0845,                0.80791,                 0.9152,                  1.278,                 1.3822,                0.90757,                0.59649,                0.29006,                0.50537,                 0.2207,                 1.9085,                 1.7746,                 1.3739,                 1.7801,                 2.9237,                 1.2705,             0.00015873,             0.00015873,             0.00015873
                     49,                  1.085,                0.78181,                0.93081,                 1.2769,                 1.3815,                0.91294,                0.59649,                0.29006,                0.50537,                 0.2207,                 1.9085,                 1.7746,                 1.3739,                 1.7801,                 2.9237,                 1.2705,             0.00015338,             0.00015338,             0.00015338
                     50,                 1.0306,                0.71458,                0.88561,                 1.3136,                 1.2462,                0.88635,                0.81689,                0.25505,                0.50372,                0.22822,                 1.8851,                  1.834,                 1.3614,                 1.7389,                 2.9876,                 1.2245,             0.00014768,             0.00014768,             0.00014768
                     51,                 1.0292,                0.75241,                0.92214,                 1.2475,                 1.3477,                0.92084,                0.81689,                0.25505,                0.50372,                0.22822,                 1.8851,                  1.834,                 1.3614,                 1.7389,                 2.9876,                 1.2245,             0.00014022,             0.00014022,             0.00014022
                     52,                  1.015,                0.71541,                 0.9035,                 1.2813,                 1.2754,                0.89687,                0.80649,                0.24773,                0.49745,                 0.2368,                 1.8798,                 1.8678,                 1.3596,                 1.7575,                 2.9716,                 1.2221,             0.00014022,             0.00014022,             0.00014022
                     53,                0.95446,                0.69926,                0.90149,                 1.1708,                 1.3198,                0.88946,                0.80649,                0.24773,                0.49745,                 0.2368,                 1.8798,                 1.8678,                 1.3596,                 1.7575,                 2.9716,                 1.2221,             0.00013126,             0.00013126,             0.00013126
                     54,                 1.0165,                 0.6968,                0.89918,                 1.2502,                 1.2541,                0.88998,                0.75968,                0.25811,                0.49002,                0.23522,                 1.8661,                 1.8675,                 1.3624,                 1.7564,                 2.9089,                 1.2377,              0.0001223,              0.0001223,              0.0001223
                     55,                 1.0202,                0.70858,                0.89397,                 1.2959,                 1.2572,                0.88274,                0.75968,                0.25811,                0.49002,                0.23522,                 1.8661,                 1.8675,                 1.3624,                 1.7564,                 2.9089,                 1.2377,             0.00011335,             0.00011335,             0.00011335
                     56,                 1.0557,                0.73457,                0.93293,                 1.2122,                 1.4036,                 0.9209,                0.72444,                0.29673,                0.39057,                0.20507,                 1.8403,                 1.8769,                 1.3688,                 1.7446,                 2.8605,                 1.2447,             0.00010439,             0.00010439,             0.00010439
                     57,                  1.011,                0.73641,                0.90847,                 1.1784,                 1.3109,                0.88989,                0.72444,                0.29673,                0.39057,                0.20507,                 1.8403,                 1.8769,                 1.3688,                 1.7446,                 2.8605,                 1.2447,             9.5437e-05,             9.5437e-05,             9.5437e-05
                     58,                 1.0047,                0.69217,                0.92111,                 1.1747,                 1.2906,                 0.9063,                 0.7739,                0.26674,                0.38668,                0.21211,                 1.8061,                 1.8589,                  1.366,                 1.7357,                 2.8084,                 1.2494,             8.6481e-05,             8.6481e-05,             8.6481e-05
                     59,                 1.0164,                0.69455,                0.92468,                 1.1348,                 1.3112,                0.92123,                 0.7739,                0.26674,                0.38668,                0.21211,                 1.8061,                 1.8589,                  1.366,                 1.7357,                 2.8084,                 1.2494,             7.7526e-05,             7.7526e-05,             7.7526e-05
                     60,                 0.9879,                0.68802,                0.90894,                 1.1699,                  1.284,                0.89621,                  0.779,                0.27163,                0.38149,                0.21184,                 1.7814,                 1.8758,                 1.3526,                 1.7359,                 2.7712,                 1.2596,              6.857e-05,              6.857e-05,              6.857e-05
                     61,                0.97226,                0.67982,                0.89637,                 1.1428,                 1.2064,                0.89658,                  0.779,                0.27163,                0.38149,                0.21184,                 1.7814,                 1.8758,                 1.3526,                 1.7359,                 2.7712,                 1.2596,             5.9614e-05,             5.9614e-05,             5.9614e-05
                     62,                 1.0368,                0.70833,                0.90876,                 1.2403,                 1.2697,                0.89611,                0.79871,                0.26924,                0.39434,                0.19881,                 1.7872,                 1.8902,                 1.3558,                 1.7475,                 2.7578,                 1.2628,             5.0658e-05,             5.0658e-05,             5.0658e-05
                     63,                0.97574,                0.68016,                0.90245,                 1.1339,                 1.2095,                0.89599,                0.79871,                0.26924,                0.39434,                0.19881,                 1.7872,                 1.8902,                 1.3558,                 1.7475,                 2.7578,                 1.2628,             4.1703e-05,             4.1703e-05,             4.1703e-05
                     64,                0.92719,                0.64185,                0.88217,                 1.0671,                 1.1564,                0.87313,                0.80948,                0.26771,                0.39757,                0.21102,                  1.793,                 1.8862,                 1.3497,                 1.7746,                 2.7404,                 1.2656,             3.2747e-05,             3.2747e-05,             3.2747e-05
                     65,                0.93181,                0.66464,                0.87977,                  1.129,                 1.1632,                 0.8862,                0.80948,                0.26771,                0.39757,                0.21102,                  1.793,                 1.8862,                 1.3497,                 1.7746,                 2.7404,                 1.2656,             2.3791e-05,             2.3791e-05,             2.3791e-05
